COMUNA,REGIS.,INSCRITOS,% INSC.,REGIS.,INSCRITOS,% INSC.,REGIS.,INSCRITOS,% INSC.
R.M. PADRE HURTADO,68,16.083,"0,25",68,17.473,"0,25",136,33.556,"0,25"
R.M. SAN PEDRO,12,3.857,"0,06",11,3.488,"0,05",23,7.345,"0,05"
R.M. HUECHURABA,107,29.150,"0,45",107,31.602,"0,46",214,60.752,"0,45"
R.M. QUILICURA,234,51.543,"0,79",234,59.046,"0,86",468,110.589,"0,83"
R.M. RENCA,181,53.294,"0,82",179,55.848,"0,81",360,109.142,"0,81"
R.M. QUINTA NORMAL,151,48.069,"0,74",151,50.515,"0,73",302,98.584,"0,74"
R.M. PUDAHUEL,280,70.805,"1,09",280,77.248,"1,12",560,148.053,"1,10"
R.M. CERRO NAVIA,187,56.153,"0,86",187,59.449,"0,86",374,115.602,"0,86"
R.M. LO PRADO,136,42.476,"0,65",136,46.285,"0,67",272,88.761,"0,66"
R.M. MAIPU,666,156.825,"2,40",666,179.626,"2,61",1.332,336.451,"2,51"
R.M. CERRILLOS,107,32.668,"0,50",98,33.341,"0,48",205,66.009,"0,49"
R.M. LA CISTERNA,121,39.357,"0,60",138,43.776,"0,64",259,83.133,"0,62"
R.M. LO ESPEJO,148,45.250,"0,69",157,47.946,"0,70",305,93.196,"0,70"
R.M. EL BOSQUE,250,66.555,"1,02",232,69.058,"1,00",482,135.613,"1,01"
R.M. LA GRANJA,174,49.398,"0,76",173,53.534,"0,78",347,102.932,"0,77"
R.M. LA PINTANA,256,61.481,"0,94",256,65.605,"0,95",512,127.086,"0,95"
R.M. SAN RAMON,129,39.773,"0,61",128,42.340,"0,62",257,82.113,"0,61"
R.M. SAN MIGUEL,155,44.288,"0,68",156,50.031,"0,73",311,94.319,"0,70"
R.M. PEDRO AGUIRRE CERDA,160,46.464,"0,71",177,50.079,"0,73",337,96.543,"0,72"
R.M. SAN JOAQUIN,125,40.137,"0,62",138,43.619,"0,63",263,83.756,"0,62"
R.M. LA FLORIDA,511,133.610,"2,05",511,151.664,"2,20",1.022,285.274,"2,13"
R.M. ÑUÑOA,289,77.496,"1,19",331,96.352,"1,40",620,173.848,"1,30"
R.M. MACUL,193,46.370,"0,71",204,52.127,"0,76",397,98.497,"0,73"
R.M. PEÑALOLEN,307,82.255,"1,26",306,89.792,"1,30",613,172.047,"1,28"
R.M. LA REINA,129,39.751,"0,61",153,47.155,"0,69",282,86.906,"0,65"
R.M. PROVIDENCIA,269,72.356,"1,11",265,84.244,"1,22",534,156.600,"1,17"
R.M. LAS CONDES,400,105.076,"1,61",401,126.649,"1,84",801,231.725,"1,73"
R.M. VITACURA,110,34.369,"0,53",149,44.105,"0,64",259,78.474,"0,59"
R.M. LO BARNECHEA,112,28.421,"0,44",112,33.345,"0,48",224,61.766,"0,46"
R.M. COLINA,126,32.979,"0,51",126,33.424,"0,49",252,66.403,"0,50"
R.M. MELIPILLA,151,42.362,"0,65",149,43.140,"0,63",300,85.502,"0,64"
R.M. PUENTE ALTO,695,153.495,"2,35",695,172.565,"2,51",1.390,326.060,"2,43"
R.M. SAN BERNARDO,373,98.796,"1,51",366,105.839,"1,54",739,204.635,"1,53"
R.M. SANTIAGO,502,133.921,"2,05",490,133.042,"1,93",992,266.963,"1,99"
R.M. TALAGANTE,87,24.145,"0,37",84,25.676,"0,37",171,49.821,"0,37"
R.M. ALHUE,14,3.442,"0,05",14,3.234,"0,05",28,6.676,"0,05"
R.M. CALERA DE TANGO,33,9.273,"0,14",33,9.433,"0,14",66,18.706,"0,14"
R.M. INDEPENDENCIA,119,37.887,"0,58",119,37.862,"0,55",238,75.749,"0,57"
R.M. LAMPA,77,20.072,"0,31",77,20.540,"0,30",154,40.612,"0,30"
R.M. PEÑAFLOR,95,30.076,"0,46",95,32.150,"0,47",190,62.226,"0,46"
R.M. PIRQUE,32,9.450,"0,14",32,9.407,"0,14",64,18.857,"0,14"
R.M. BUIN,105,28.783,"0,44",105,30.295,"0,44",210,59.078,"0,44"
R.M. CURACAVI,37,10.878,"0,17",36,11.091,"0,16",73,21.969,"0,16"
R.M. EL MONTE,42,11.900,"0,18",42,12.394,"0,18",84,24.294,"0,18"
R.M. RECOLETA,265,75.553,"1,16",271,77.718,"1,13",536,153.271,"1,14"
R.M. SAN JOSE DE MAIPO,21,7.068,"0,11",21,7.150,"0,10",42,14.218,"0,11"
R.M. TILTIL,21,6.460,"0,10",18,6.256,"0,09",39,12.716,"0,09"
R.M. ESTACION CENTRAL,216,62.558,"0,96",222,66.092,"0,96",438,128.650,"0,96"
R.M. ISLA DE MAIPO,41,11.489,"0,18",41,11.760,"0,17",82,23.249,"0,17"
R.M. MARIA PINTO,17,4.712,"0,07",17,4.726,"0,07",34,9.438,"0,07"
R.M. PAINE,81,22.015,"0,34",80,22.266,"0,32",161,44.281,"0,33"
R.M. CONCHALI,187,57.778,"0,89",200,62.032,"0,90",387,119.810,"0,89"
